configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,39.933,39.933,0.0,39.933,39.933,39.933,39.933
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.783,44.783,0.0,44.783,44.783,44.783,44.783
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.142,44.142,0.0,44.142,44.142,44.142,44.142
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,43.619,43.619,0.0,43.619,43.619,43.619,43.619
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,40.668,40.668,0.0,40.668,40.668,40.668,40.668
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.877,44.877,0.0,44.877,44.877,44.877,44.877
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,23.075,23.075,0.0,23.075,23.075,23.075,23.075
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,43.988,43.988,0.0,43.988,43.988,43.988,43.988
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,44.672,44.672,0.0,44.672,44.672,44.672,44.672
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,29.209,29.209,0.0,29.209,29.209,29.209,29.209
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,36.029,36.029,0.0,36.029,36.029,36.029,36.029
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,23.079,23.079,0.0,23.079,23.079,23.079,23.079
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.573,44.573,0.0,44.573,44.573,44.573,44.573
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.744,44.744,0.0,44.744,44.744,44.744,44.744
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,43.48,43.48,0.0,43.48,43.48,43.48,43.48
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.104,44.104,0.0,44.104,44.104,44.104,44.104
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.704,44.704,0.0,44.704,44.704,44.704,44.704
