configuration,attenuation (dB),packet size (B),mean (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),median (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,38.83226666666666,0.0890675579830142,38.66,39.133,38.7915,38.835,38.851
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,38.842333333333336,0.1136556606395054,38.607,39.023,38.76375,38.855000000000004,38.94
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,38.8791,0.12287738491739646,38.644,39.131,38.781000000000006,38.8835,38.97475
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,84.27736666666667,0.5282076056936753,82.564,84.912,84.07149999999999,84.4425,84.56575000000001
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,84.0753,0.35652084622515773,83.266,84.702,83.88625,84.11449999999999,84.30375000000001
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,84.31706666666668,0.4283395312400993,83.147,84.933,84.1,84.386,84.58125
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,82.59270000000002,2.7211191935520285,72.966,85.427,81.76,83.4525,84.489
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,82.65013333333333,2.5947687523478695,76.131,85.807,81.32925,82.4705,85.18199999999999
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,82.02590000000001,2.5225778871130475,78.159,85.848,80.05600000000001,82.2775,83.90875
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,48.145133333333334,0.47103933017818445,47.589,50.159,47.97225,48.010999999999996,48.039
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,48.011133333333326,0.12378700654150145,47.831,48.581,47.956250000000004,47.9995,48.018249999999995
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,47.95876666666667,0.13203726833695417,47.646,48.48,47.93075,47.9675,47.99575
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,3.1142333333333334,0.1591264262786979,2.883,3.455,2.97875,3.09,3.229
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,3.0635666666666665,0.09713647822676529,2.814,3.219,2.98475,3.0815,3.13375
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,3.0876666666666663,0.10686321690103096,2.887,3.297,3.02875,3.079,3.15175
