configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,32.59,32.59,0.0,32.59,32.59,32.59,32.59
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.058,23.058,0.0,23.058,23.058,23.058,23.058
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,35.644,35.644,0.0,35.644,35.644,35.644,35.644
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,25.322,25.322,0.0,25.322,25.322,25.322,25.322
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,31.801,31.801,0.0,31.801,31.801,31.801,31.801
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,23.056,23.056,0.0,23.056,23.056,23.056,23.056
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,32.618,32.618,0.0,32.618,32.618,32.618,32.618
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,24.934,24.934,0.0,24.934,24.934,24.934,24.934
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,33.774,33.774,0.0,33.774,33.774,33.774,33.774
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,35.886,35.886,0.0,35.886,35.886,35.886,35.886
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,29.235,29.235,0.0,29.235,29.235,29.235,29.235
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,42.589,42.589,0.0,42.589,42.589,42.589,42.589
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,36.495,36.495,0.0,36.495,36.495,36.495,36.495
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,35.788,35.788,0.0,35.788,35.788,35.788,35.788
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.091,3.091,0.0,3.091,3.091,3.091,3.091
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.997,2.997,0.0,2.997,2.997,2.997,2.997
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.356,2.356,0.0,2.356,2.356,2.356,2.356
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.351,3.351,0.0,3.351,3.351,3.351,3.351
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.486,2.486,0.0,2.486,2.486,2.486,2.486
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.245,2.245,0.0,2.245,2.245,2.245,2.245
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.292,2.292,0.0,2.292,2.292,2.292,2.292
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.084,3.084,0.0,3.084,3.084,3.084,3.084
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.807,2.807,0.0,2.807,2.807,2.807,2.807
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.243,3.243,0.0,3.243,3.243,3.243,3.243
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.325,2.325,0.0,2.325,2.325,2.325,2.325
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.346,2.346,0.0,2.346,2.346,2.346,2.346
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.368,2.368,0.0,2.368,2.368,2.368,2.368
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.944,2.944,0.0,2.944,2.944,2.944,2.944
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.243,3.243,0.0,3.243,3.243,3.243,3.243
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.408,2.408,0.0,2.408,2.408,2.408,2.408
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.887,2.887,0.0,2.887,2.887,2.887,2.887
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.23,2.23,0.0,2.23,2.23,2.23,2.23
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.029,3.029,0.0,3.029,3.029,3.029,3.029
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.196,3.196,0.0,3.196,3.196,3.196,3.196
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.012,2.012,0.0,2.012,2.012,2.012,2.012
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.175,3.175,0.0,3.175,3.175,3.175,3.175
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.341,2.341,0.0,2.341,2.341,2.341,2.341
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.368,3.368,0.0,3.368,3.368,3.368,3.368
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.102,3.102,0.0,3.102,3.102,3.102,3.102
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,3.137,3.137,0.0,3.137,3.137,3.137,3.137
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.581,2.581,0.0,2.581,2.581,2.581,2.581
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.007,2.007,0.0,2.007,2.007,2.007,2.007
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.513,2.513,0.0,2.513,2.513,2.513,2.513
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.243,2.243,0.0,2.243,2.243,2.243,2.243
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.827,3.827,0.0,3.827,3.827,3.827,3.827
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.732,2.732,0.0,2.732,2.732,2.732,2.732
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.824,2.824,0.0,2.824,2.824,2.824,2.824
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.632,3.632,0.0,3.632,3.632,3.632,3.632
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.668,3.668,0.0,3.668,3.668,3.668,3.668
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.85,2.85,0.0,2.85,2.85,2.85,2.85
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.252,3.252,0.0,3.252,3.252,3.252,3.252
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.32,3.32,0.0,3.32,3.32,3.32,3.32
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.379,2.379,0.0,2.379,2.379,2.379,2.379
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.061,3.061,0.0,3.061,3.061,3.061,3.061
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.762,3.762,0.0,3.762,3.762,3.762,3.762
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.658,3.658,0.0,3.658,3.658,3.658,3.658
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.845,2.845,0.0,2.845,2.845,2.845,2.845
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.745,2.745,0.0,2.745,2.745,2.745,2.745
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.736,2.736,0.0,2.736,2.736,2.736,2.736
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.654,3.654,0.0,3.654,3.654,3.654,3.654
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.026,3.026,0.0,3.026,3.026,3.026,3.026
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.444,3.444,0.0,3.444,3.444,3.444,3.444
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.53,2.53,0.0,2.53,2.53,2.53,2.53
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.252,3.252,0.0,3.252,3.252,3.252,3.252
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.929,3.929,0.0,3.929,3.929,3.929,3.929
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.389,2.389,0.0,2.389,2.389,2.389,2.389
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.371,3.371,0.0,3.371,3.371,3.371,3.371
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.81,3.81,0.0,3.81,3.81,3.81,3.81
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.846,2.846,0.0,2.846,2.846,2.846,2.846
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.87,2.87,0.0,2.87,2.87,2.87,2.87
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.362,3.362,0.0,3.362,3.362,3.362,3.362
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.725,3.725,0.0,3.725,3.725,3.725,3.725
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.65,2.65,0.0,2.65,2.65,2.65,2.65
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,2.58,2.58,0.0,2.58,2.58,2.58,2.58
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.185,3.185,0.0,3.185,3.185,3.185,3.185
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.388,3.388,0.0,3.388,3.388,3.388,3.388
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.38,3.38,0.0,3.38,3.38,3.38,3.38
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.428,3.428,0.0,3.428,3.428,3.428,3.428
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.336,2.336,0.0,2.336,2.336,2.336,2.336
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.924,2.924,0.0,2.924,2.924,2.924,2.924
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.611,3.611,0.0,3.611,3.611,3.611,3.611
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.548,2.548,0.0,2.548,2.548,2.548,2.548
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.384,3.384,0.0,3.384,3.384,3.384,3.384
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.206,3.206,0.0,3.206,3.206,3.206,3.206
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.923,3.923,0.0,3.923,3.923,3.923,3.923
