configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,161.652,161.652,0.0,161.652,161.652,161.652,161.652
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,163.818,163.818,0.0,163.818,163.818,163.818,163.818
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,163.786,163.786,0.0,163.786,163.786,163.786,163.786
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,106.131,106.131,0.0,106.131,106.131,106.131,106.131
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.61,165.61,0.0,165.61,165.61,165.61,165.61
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.565,165.565,0.0,165.565,165.565,165.565,165.565
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,163.786,163.786,0.0,163.786,163.786,163.786,163.786
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.408,165.408,0.0,165.408,165.408,165.408,165.408
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.633,165.633,0.0,165.633,165.633,165.633,165.633
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.535,165.535,0.0,165.535,165.535,165.535,165.535
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.527,165.527,0.0,165.527,165.527,165.527,165.527
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.726,165.726,0.0,165.726,165.726,165.726,165.726
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.501,165.501,0.0,165.501,165.501,165.501,165.501
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,158.14,158.14,0.0,158.14,158.14,158.14,158.14
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.747,165.747,0.0,165.747,165.747,165.747,165.747
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,163.617,163.617,0.0,163.617,163.617,163.617,163.617
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.424,165.424,0.0,165.424,165.424,165.424,165.424
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,156.446,156.446,0.0,156.446,156.446,156.446,156.446
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.661,165.661,0.0,165.661,165.661,165.661,165.661
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,151.473,151.473,0.0,151.473,151.473,151.473,151.473
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.739,165.739,0.0,165.739,165.739,165.739,165.739
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,165.568,165.568,0.0,165.568,165.568,165.568,165.568
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,48.365,48.365,0.0,48.365,48.365,48.365,48.365
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,49.135,49.135,0.0,49.135,49.135,49.135,49.135
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,48.539,48.539,0.0,48.539,48.539,48.539,48.539
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.358,76.358,0.0,76.358,76.358,76.358,76.358
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.167,76.167,0.0,76.167,76.167,76.167,76.167
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.483,76.483,0.0,76.483,76.483,76.483,76.483
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.547,76.547,0.0,76.547,76.547,76.547,76.547
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,46.657,46.657,0.0,46.657,46.657,46.657,46.657
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,48.213,48.213,0.0,48.213,48.213,48.213,48.213
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,48.19,48.19,0.0,48.19,48.19,48.19,48.19
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,75.537,75.537,0.0,75.537,75.537,75.537,75.537
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,65.828,65.828,0.0,65.828,65.828,65.828,65.828
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,48.273,48.273,0.0,48.273,48.273,48.273,48.273
